species,cover,transect,cover_type
Asclepias_fascicularis,1,Upland-1,Native
Baccharis_pilularis,8,Upland-1,Native
Ambrosia_psilostachya,31,Upland-1,Native
Stipa_pulchra,38,Upland-1,Native
Asclepias_fascicularis,1,Upland-1,Native
Sisyrinchium_bellum,6,Upland-1,Native
Stipa_pulchra,11,Upland-1,Native
Ambrosia_psilostachya,19,Upland-1,Native
Asclepias_fascicularis,1,Upland-1,Native
Corethrogyne_filaginifolia,3,Upland-1,Native
Stipa_pulchra,10,Upland-1,Native
Sisyrinchium_bellum,3,Upland-1,Native
Ambrosia_psilostachya,21,Upland-1,Native
Stipa_pulchra,12,Upland-1,Native
Sisyrinchium_bellum,2,Upland-1,Native
Asclepias_fascicularis,1,Upland-1,Native
Stipa_pulchra,29,Upland-1,Native
Asclepias_fascicularis,1,Upland-1,Native
Baccharis_pilularis,10,Upland-1,Native
Stipa_pulchra,5,Upland-1,Native
Sisyrinchium_bellum,1,Upland-1,Native
Stipa_pulchra,82,Upland-2,Native
Baccharis_pilularis,32,Upland-2,Native
Elymus_condensatus,13,Upland-2,Native
Epilobium_canum,63,Upland-2,Native
Asclepias_fascicularis,6,Upland-2,Native
Stipa_pulchra,19,Upland-2,Native
Stipa_pulchra,22,Upland-2,Native
Epilobium_canum,1,Upland-2,Native
Stipa_pulchra,10,Upland-2,Native
Sisyrinchium_bellum,4,Upland-2,Native
Stipa_pulchra,58,Upland-2,Native
Stipa_pulchra,29,Upland-2,Native
Stipa_pulchra,20,Upland-2,Native
Stipa_pulchra,4,Upland-2,Native
Corethrogyne_filaginifolia,4,Upland-2,Native
Stipa_pulchra,2,Upland-2,Native
Juncus_bufonius,4,Upland-2,Native
Deinandra_fasciculata,1,Upland-2,Native
Stipa_pulchra,14,Upland-2,Native
Stipa_pulchra,4,Upland-2,Native
Stipa_pulchra,53,Upland-2,Native
Stipa_pulchra,19,Upland-2,Native
Heterotheca_grandiflora,1,Upland-2,Native
Stipa_pulchra,48,Upland-2,Native
Calystegia_macrostegia_cyclos.,8,Upland-2,Native
Stipa_pulchra,15,Upland-2,Native
Asclepias_fascicularis,1,Upland-2,Native
Heterotheca_grandiflora,1,Upland-2,Native
Stipa_pulchra,8,Upland-2,Native
Epilobium_brachycarpum,1,Upland-2,Native
Stipa_pulchra,1,Upland-2,Native
Stipa_pulchra,11,Upland-2,Native
Distichlis_spicata,9,Upland-2,Native
Asclepias_fascicularis,1,Upland-2,Native
Distichlis_spicata,1,Upland-2,Native
Distichlis_spicata,8,VP-04,Native
Epilobium_brachycarpum,1,VP-04,Native
Cyperus_eragrostis,1,VP-04,Native
Erigeron_canadensis,1,VP-04,Native
Eryngium_vaseyi,2,VP-04,Native
Juncus_patens,8,VP-04,Native
Epilobium_brachycarpum,1,VP-04,Native
Distichlis_spicata,1,VP-04,Native
Juncus_phaeocephalus,40,VP-04,Native
Asclepias_fascicularis,1,VP-04,Native
Distichlis_spicata,14,VP-04,Native
Juncus_phaeocephalus,85,VP-04,Native
Distichlis_spicata,3,VP-04,Native
Juncus_phaeocephalus,95,VP-04,Native
Eryngium_vaseyi,1,VP-04,Native
Juncus_phaeocephalus,90,VP-04,Native
Eleocharis_palustris,2,VP-04,Native
Eryngium_vaseyi,3,VP-04,Native
Distichlis_spicata,4,VP-04,Native
Juncus_phaeocephalus,80,VP-04,Native
Eryngium_vaseyi,10,VP-04,Native
Distichlis_spicata,2,VP-04,Native
Juncus_phaeocephalus,80,VP-04,Native
Phalaris_lemmonii,1,VP-04,Native
Eryngium_vaseyi,2,VP-04,Native
Juncus_phaeocephalus,88,VP-04,Native
Distichlis_spicata,2,VP-04,Native
Eryngium_vaseyi,2,VP-04,Native
Juncus_phaeocephalus,90,VP-04,Native
Phalaris_lemmonii,1,VP-04,Native
Juncus_phaeocephalus,1,VP-04,Native
Juncus_patens,1,VP-04,Native
Eryngium_vaseyi,1,VP-04,Native
Stipa_pulchra,2,VP-04,Native
Spergularia_marina,1,VP-04,Native
Juncus_patens,55,VP-08,Native
Eleocharis_palustris,25,VP-08,Native
Eryngium_vaseyi,1,VP-08,Native
Symphyotrichum_subulatum,1,VP-08,Native
Cyperus_eragrostis,1,VP-08,Native
Juncus_patens,96,VP-08,Native
Eryngium_vaseyi,1,VP-08,Native
Eleocharis_palustris,3,VP-08,Native
Eleocharis_acicularis,1,VP-08,Native
Eleocharis_palustris,17,VP-08,Native
Eleocharis_acicularis,85,VP-08,Native
Distichlis_spicata,1,VP-08,Native
,0,VP-08,Native
Eryngium_vaseyi,10,VP-08,Native
Eleocharis_palustris,70,VP-08,Native
Eleocharis_acicularis,28,VP-08,Native
Bolboschoenus_maritimus,1,VP-08,Native
Distichlis_spicata,6,VP-08,Native
Juncus_phaeocephalus,30,VP-08,Native
Eleocharis_palustris,99,VP-08,Native
Distichlis_spicata,1,VP-08,Native
Eryngium_vaseyi,10,VP-08,Native
Distichlis_spicata,7,VP-08,Native
Eleocharis_palustris,55,VP-08,Native
Eleocharis_acicularis,45,VP-08,Native
Juncus_phaeocephalus,10,VP-08,Native
Eleocharis_palustris,96,VP-08,Native
Schoenoplectus_californicus,1,VP-08,Native
Eleocharis_palustris,65,VP-08,Native
Eleocharis_acicularis,40,VP-08,Native
Eleocharis_palustris,46,VP-08,Native
Eleocharis_acicularis,4,VP-08,Native
Distichlis_spicata,4,VP-08,Native
Juncus_phaeocephalus,18,VP-08,Native
Eryngium_vaseyi,2,VP-08,Native
Juncus_phaeocephalus,80,VP-08,Native
Distichlis_spicata,4,VP-08,Native
Eleocharis_palustris,3,VP-08,Native
Eleocharis_acicularis,2,VP-08,Native
Eleocharis_palustris,50,VP-08,Native
Juncus_phaeocephalus,10,VP-08,Native
Juncus_phaeocephalus,35,VP-08,Native
Eleocharis_palustris,18,VP-08,Native
Distichlis_spicata,7,VP-08,Native
Eleocharis_acicularis,2,VP-08,Native
Juncus_phaeocephalus,87,VP-08,Native
Eleocharis_palustris,7,VP-08,Native
Distichlis_spicata,1,VP-08,Native
Juncus_phaeocephalus,51,VP-08,Native
Eleocharis_palustris,1,VP-08,Native
Eleocharis_acicularis,52,VP-08,Native
Distichlis_spicata,1,VP-08,Native
Eryngium_vaseyi,12,VP-08,Native
Eleocharis_acicularis,64,VP-08,Native
Juncus_phaeocephalus,9,VP-08,Native
Juncus_patens,30,VP-08,Native
Eleocharis_palustris,1,VP-08,Native
Juncus_patens,92,VP-08,Native
Eleocharis_acicularis,2,VP-08,Native
Eleocharis_palustris,3,VP-08,Native
Ambrosia_psilostachya,4,VP-08,Native
Cyperus_eragrostis,6,VP-08,Native
Eleocharis_palustris,4,VP-08,Native
Sisyrinchium_bellum,2,VP-08,Native
Juncus_bufonius,1,VP-08,Native
Distichlis_spicata,4,VP-04,Native
Spergularia_marina,1,VP-04,Native
Erigeron_canadensis,1,VP-04,Native
Heterotheca_grandiflora,1,VP-04,Native
Epilobium_brachycarpum,1,VP-04,Native
Distichlis_spicata,3,VP-04,Native
Distichlis_spicata,10,VP-04,Native
Spergularia_marina,1,VP-04,Native
Stipa_pulchra,1,VP-04,Native
Distichlis_spicata,3,VP-04,Native
Stipa_pulchra,1,VP-04,Native
Erigeron_canadensis,1,VP-04,Native
Stipa_pulchra,45,VP-04,Native
Stipa_pulchra,40,VP-04,Native
Juncus_phaeocephalus,75,VP-06,Native
Eryngium_vaseyi,2,VP-06,Native
Eleocharis_palustris,15,VP-06,Native
Eleocharis_palustris,100,VP-06,Native
Eleocharis_palustris,10,VP-06,Native
Juncus_phaeocephalus,92,VP-06,Native
Eleocharis_palustris,5,VP-06,Native
Juncus_phaeocephalus,45,VP-06,Native
Juncus_patens,1,VP-06,Native
Stipa_pulchra,1,VP-06,Native
Grindelia_camporum,3,VP-09,Native
Juncus_patens,5,VP-09,Native
Cyperus_eragrostis,4,VP-09,Native
Juncus_bufonius,1,VP-09,Native
Sisyrinchium_bellum,1,VP-09,Native
Juncus_patens,80,VP-09,Native
Juncus_phaeocephalus,95,VP-09,Native
Eleocharis_palustris,1,VP-09,Native
Eleocharis_acicularis,100,VP-09,Native
Schoenoplectus_americanus,1,VP-09,Native
Juncus_phaeocephalus,1,VP-09,Native
Distichlis_spicata,5,VP-09,Native
Eleocharis_palustris,98,VP-09,Native
Erigeron_canadensis,1,VP-09,Native
Eleocharis_palustris,2,VP-09,Native
Eleocharis_acicularis,60,VP-09,Native
Juncus_phaeocephalus,40,VP-09,Native
Eryngium_vaseyi,1,VP-09,Native
Juncus_phaeocephalus,55,VP-09,Native
Eleocharis_palustris,15,VP-09,Native
Eleocharis_acicularis,3,VP-09,Native
Eleocharis_palustris,55,VP-09,Native
Symphyotrichum_subulatum,1,VP-09,Native
Juncus_bufonius,1,VP-09,Native
Grindelia_camporum,1,VP-09,Native
Grindelia_camporum,1,VP-09,Native
Eleocharis_palustris,13,VP-03,Native
Juncus_phaeocephalus,85,VP-03,Native
Symphyotrichum_subulatum,1,VP-03,Native
Epilobium_brachycarpum,1,VP-03,Native
Distichlis_spicata,1,VP-03,Native
Juncus_patens,10,VP-03,Native
Eleocharis_palustris,60,VP-03,Native
Distichlis_spicata,7,VP-03,Native
Eryngium_vaseyi,5,VP-03,Native
Juncus_phaeocephalus,13,VP-03,Native
Juncus_phaeocephalus,72,VP-03,Native
Eleocharis_palustris,10,VP-03,Native
Distichlis_spicata,20,VP-03,Native
Juncus_phaeocephalus,84,VP-03,Native
Distichlis_spicata,24,VP-03,Native
Eleocharis_palustris,2,VP-03,Native
Eryngium_vaseyi,4,VP-03,Native
Juncus_phaeocephalus,99,VP-03,Native
Distichlis_spicata,2,VP-03,Native
Eleocharis_palustris,8,VP-03,Native
Juncus_phaeocephalus,98,VP-03,Native
Distichlis_spicata,10,VP-03,Native
Eleocharis_palustris,1,VP-03,Native
Carex_praegracilis,27,VP-03,Native
Distichlis_spicata,8,VP-03,Native
Juncus_phaeocephalus,70,VP-03,Native
Juncus_patens,3,VP-03,Native
Eleocharis_palustris,2,VP-03,Native
Deinandra_fasciculata,2,VP-03,Native
Spergularia_marina,2,VP-03,Native
Distichlis_spicata,2,VP-03,Native
Juncus_phaeocephalus,1,VP-03,Native
Juncus_bufonius,1,VP-03,Native
Stipa_pulchra,70,Wetland-3,Native
Stipa_pulchra,66,Wetland-3,Native
Distichlis_spicata,6,Wetland-3,Native
Sisyrinchium_bellum,1,Wetland-3,Native
Juncus_patens,3,Wetland-3,Native
Eleocharis_palustris,50,Wetland-3,Native
Distichlis_spicata,4,Wetland-3,Native
,12,Wetland-3,Native
Juncus_patens,80,VP-07,Native
Juncus_phaeocephalus,21,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Distichlis_spicata,0,VP-07,Native
Eryngium_vaseyi,1,VP-07,Native
Juncus_patens,36,VP-07,Native
Juncus_phaeocephalus,47,VP-07,Native
Distichlis_spicata,1,VP-07,Native
Eryngium_vaseyi,15,VP-07,Native
Juncus_phaeocephalus,82,VP-07,Native
Distichlis_spicata,4,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Eryngium_vaseyi,8,VP-07,Native
Distichlis_spicata,3,VP-07,Native
Juncus_phaeocephalus,85,VP-07,Native
Juncus_phaeocephalus,100,VP-07,Native
Distichlis_spicata,3,VP-07,Native
Juncus_phaeocephalus,9,VP-07,Native
Eleocharis_palustris,71,VP-07,Native
Distichlis_spicata,7,VP-07,Native
Juncus_phaeocephalus,98,VP-07,Native
Eryngium_vaseyi,2,VP-07,Native
Juncus_phaeocephalus,96,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Distichlis_spicata,9,VP-07,Native
Eryngium_vaseyi,10,VP-07,Native
Juncus_phaeocephalus,91,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Eryngium_vaseyi,13,VP-07,Native
Distichlis_spicata,10,VP-07,Native
Juncus_phaeocephalus,65,VP-07,Native
Eleocharis_acicularis,6,VP-07,Native
Eryngium_vaseyi,7,VP-07,Native
Eleocharis_palustris,37,VP-07,Native
Eleocharis_acicularis,65,VP-07,Native
Juncus_phaeocephalus,1,VP-07,Native
Eryngium_vaseyi,7,VP-07,Native
Juncus_phaeocephalus,20,VP-07,Native
Juncus_patens,35,VP-07,Native
Eleocharis_acicularis,8,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Asclepias_fascicularis,2,VP-07,Native
Eleocharis_palustris,1,VP-07,Native
Juncus_phaeocephalus,48,VP-07,Native
Eryngium_vaseyi,1,VP-07,Native
Stipa_pulchra,2,VP-07,Native
Sisyrinchium_bellum,1,VP-07,Native
Baccharis_pilularis,6,VP-06,Native
Cyperus_eragrostis,5,VP-06,Native
Eriophyllum_confertiflorum,3,VP-06,Native
Symphyotrichum_subulatum,1,VP-06,Native
Juncus_phaeocephalus,1,VP-06,Native
Sisyrinchium_bellum,1,VP-06,Native
Juncus_bufonius,1,VP-06,Native
Juncus_phaeocephalus,70,VP-06,Native
Ambrosia_psilostachya,5,VP-06,Native
Cyperus_eragrostis,2,VP-06,Native
Eryngium_vaseyi,3,VP-06,Native
Eleocharis_palustris,1,VP-06,Native
Symphyotrichum_subulatum,1,VP-06,Native
Asclepias_fascicularis,1,VP-06,Native
Juncus_phaeocephalus,30,VP-06,Native
Eleocharis_palustris,33,VP-06,Native
Eryngium_vaseyi,4,VP-06,Native
Juncus_bufonius,2,VP-06,Native
Symphyotrichum_subulatum,1,VP-06,Native
Eleocharis_palustris,99,VP-06,Native
Juncus_phaeocephalus,1,VP-06,Native
Eleocharis_palustris,22,VP-06,Native
Juncus_phaeocephalus,70,VP-06,Native
Eryngium_vaseyi,5,VP-06,Native
Asclepias_fascicularis,1,VP-06,Native
Asclepias_fascicularis,2,VP-06,Native
Juncus_phaeocephalus,20,VP-06,Native
Eleocharis_palustris,9,VP-06,Native
Cyperus_eragrostis,1,VP-06,Native
Eryngium_vaseyi,1,VP-06,Native
Juncus_bufonius,2,VP-06,Native
Symphyotrichum_subulatum,1,VP-06,Native
Sisyrinchium_bellum,5,VP-06,Native
Baccharis_pilularis,4,VP-06,Native
Stipa_pulchra,1,VP-06,Native
Schoenoplectus_californicus,35,Wetland-3,Native
Muhlenbergia_rigens,1,Wetland-4,Native
Eleocharis_palustris,45,Wetland-3,Native
Distichlis_spicata,3,Wetland-3,Native
Muhlenbergia_rigens,24,Wetland-3,Native
Muhlenbergia_rigens,1,Wetland-3,Native
Eleocharis_palustris,12,Wetland-3,Native
Muhlenbergia_rigens,95,Wetland-3,Native
Sparganium_eurycarpum,11,Wetland-3,Native
Muhlenbergia_rigens,22,Bioswale-1,Native
Muhlenbergia_rigens,2,Bioswale-1,Native
Eleocharis_palustris,38,Wetland-3,Native
Schoenoplectus_pungens,5,Wetland-3,Native
Schoenoplectus_pungens,23,Wetland-3,Native
Eleocharis_palustris,55,Wetland-3,Native
Schoenoplectus_californicus,23,Wetland-3,Native
Schoenoplectus_pungens,8,Wetland-3,Native
Sparganium_eurycarpum,9,Wetland-3,Native
Eleocharis_palustris,9,Wetland-3,Native
Schoenoplectus_californicus,12,Wetland-3,Native
Schoenoplectus_pungens,6,Wetland-3,Native
Eleocharis_palustris,17,Wetland-3,Native
Sparganium_eurycarpum,4,Wetland-3,Native
Schoenoplectus_californicus,36,Wetland-3,Native
Sparganium_eurycarpum,45,Wetland-3,Native
Schoenoplectus_pungens,15,Wetland-3,Native
Eleocharis_palustris,1,Wetland-3,Native
Carex_sp,35,Wetland-3,Native
Distichlis_spicata,11,Wetland-3,Native
Schoenoplectus_californicus,3,Wetland-3,Native
Schoenoplectus_pungens,27,Wetland-3,Native
Sparganium_eurycarpum,1,Wetland-3,Native
Eleocharis_palustris,8,Wetland-3,Native
Distichlis_spicata,88,Wetland-3,Native
Schoenoplectus_pungens,4,Wetland-3,Native
Eleocharis_palustris,0,Wetland-3,Native
Symphyotrichum_subulatum,1,Wetland-3,Native
Rosa_californica,1,Wetland-3,Native
Cyperus_eragrostis,1,Wetland-3,Native
Distichlis_spicata,38,Wetland-3,Native
Eleocharis_palustris,42,Wetland-3,Native
Schoenoplectus_pungens,4,Wetland-3,Native
Symphyotrichum_subulatum,1,Wetland-3,Native
Distichlis_spicata,48,Wetland-3,Native
Eleocharis_palustris,55,Wetland-3,Native
Symphyotrichum_subulatum,1,Wetland-3,Native
Schoenoplectus_pungens,3,Wetland-3,Native
Schoenoplectus_californicus,2,Wetland-3,Native
Eleocharis_palustris,1,Wetland-3,Native
Asclepias_fascicularis,1,Wetland-3,Native
Distichlis_spicata,3,Wetland-3,Native
Schoenoplectus_pungens,2,VP-16,Native
Distichlis_spicata,70,Wetland-3,Native
Calystegia_macrostegia_cyclos.,2,Wetland-3,Native
Eriogonum_fasciculatum,1,Wetland-3,Native
Baccharis_pilularis,52,Wetland-3,Native
Eriogonum_fasciculatum,17,Wetland-3,Native
Baccharis_pilularis,80,Wetland-3,Native
Baccharis_pilularis,95,Wetland-3,Native
Carex_praegracilis,90,VP-14,Native
Juncus_phaeocephalus,90,VP-14,Native
Rumex_salicifolius,1,VP-14,Native
Cyperus_eragrostis,1,VP-14,Native
Schoenoplectus_pungens,1,VP-16,Native
Juncus_phaeocephalus,53,VP-14,Native
Eleocharis_palustris,33,VP-14,Native
Bolboschoenus_maritimus,3,VP-14,Native
Eleocharis_palustris,55,VP-14,Native
Bolboschoenus_maritimus,2,VP-14,Native
Baccharis_salicifolia,30,VP-14,Native
Typha_sp.,1,Wetland-3,Native
Ambrosia_psilostachya,1,VP-14,Native
Eleocharis_palustris,75,VP-14,Native
Eleocharis_palustris,70,VP-14,Native
Eleocharis_palustris,77,VP-14,Native
Frankenia_salina,1,VP-14,Native
Juncus_phaeocephalus,52,VP-14,Native
Eleocharis_palustris,18,VP-14,Native
Juncus_phaeocephalus,79,VP-14,Native
Eleocharis_palustris,1,VP-14,Native
Juncus_acutus,1,VP-14,Native
Juncus_phaeocephalus,91,VP-14,Native
Eleocharis_palustris,1,VP-14,Native
Juncus_phaeocephalus,94,VP-14,Native
Eleocharis_palustris,47,VP-14,Native
Juncus_phaeocephalus,14,VP-14,Native
Bolboschoenus_maritimus,1,VP-14,Native
Eleocharis_palustris,41,VP-14,Native
Juncus_phaeocephalus,1,VP-14,Native
Juncus_mexicanus,45,VP-14,Native
Eleocharis_palustris,30,VP-14,Native
Juncus_mexicanus,30,VP-14,Native
Carex_praegracilis,80,VP-14,Native
Juncus_patens,3,VP-14,Native
Carex_praegracilis,45,VP-14,Native
Juncus_mexicanus,12,VP-14,Native
Stipa_pulchra,1,VP-14,Native
Distichlis_spicata,80,VP-16,Native
Eleocharis_montivedensis,3,VP-16,Native
Stipa_pulchra,1,VP-16,Native
Distichlis_spicata,77,VP-16,Native
Schoenoplectus_californicus,9,VP-16,Native
Typha_sp.,4,Wetland-3,Native
Eleocharis_palustris,2,VP-16,Native
Hordeum_brachyantherum_brachy.,1,VP-16,Native
Typha_sp.,3,Wetland-3,Native
Eryngium_vaseyi,1,VP-16,Native
Bolboschoenus_maritimus,1,VP-16,Native
Eleocharis_palustris,38,VP-16,Native
Schoenoplectus_californicus,1,VP-16,Native
Distichlis_spicata,9,VP-16,Native
Eleocharis_montivedensis,2,VP-16,Native
Eleocharis_palustris,37,VP-16,Native
Distichlis_spicata,5,VP-16,Native
Eryngium_vaseyi,1,VP-16,Native
Eleocharis_palustris,82,VP-16,Native
Eryngium_vaseyi,1,VP-16,Native
Eleocharis_montivedensis,2,VP-16,Native
Typha_sp.,3,Wetland-3,Native
Stipa_pulchra,7,Bioswale-1,Native
Juncus_patens,10,Wetland-4,Native
Distichlis_spicata,72,Wetland-4,Native
Frankenia_salina,4,Wetland-4,Native
Juncus_phaeocephalus,9,Wetland-4,Native
Eleocharis_palustris,0,Wetland-4,Native
Juncus_phaeocephalus,72,Wetland-4,Native
Typha_sp.,6,VP-14,Native
Distichlis_spicata,2,Wetland-4,Native
Hazardia_squarrosa,50,Wetland-4,Native
Distichlis_spicata,2,Wetland-4,Native
Stipa_pulchra,2,Wetland-4,Native
Hazardia_squarrosa,35,Wetland-4,Native
Atriplex_lentiformis,60,Wetland-4,Native
Asclepias_fascicularis,10,Wetland-4,Native
Atriplex_lentiformis,99,Wetland-4,Native
Atriplex_lentiformis,90,Wetland-4,Native
Baccharis_pilularis,5,Wetland-4,Native
Atriplex_lentiformis,30,Wetland-4,Native
Baccharis_pilularis,35,Wetland-4,Native
Juncus_patens,60,Wetland-4,Native
Distichlis_spicata,2,Wetland-4,Native
Juncus_patens,90,Wetland-4,Native
Baccharis_pilularis,30,Wetland-4,Native
Distichlis_spicata,2,Wetland-4,Native
Centromadia_parryi_australis,10,Wetland-4,Native
Distichlis_spicata,12,Wetland-4,Native
Baccharis_pilularis,5,Wetland-4,Native
Atriplex_lentiformis,2,Wetland-4,Native
Juncus_patens,20,Wetland-4,Native
Baccharis_pilularis,30,Wetland-4,Native
Distichlis_spicata,68,Wetland-4,Native
Baccharis_pilularis,40,Wetland-4,Native
,0,Wetland-4,Native
Baccharis_pilularis,97,Wetland-4,Native
Stipa_pulchra,25,Wetland-4,Native
Juncus_patens,2,Wetland-4,Native
Stipa_pulchra,94,Wetland-4,Native
Stipa_pulchra,80,Wetland-4,Native
Juncus_patens,1,Wetland-4,Native
Stipa_pulchra,30,Wetland-4,Native
Stipa_pulchra,45,Wetland-4,Native
Stipa_pulchra,25,Wetland-4,Native
Stipa_pulchra,15,Wetland-4,Native
Stipa_pulchra,3,Bioswale-1,Native
Epilobium_canum,4,Bioswale-1,Native
Hordeum_brachyantherum,1,Bioswale-1,Native
Elymus_glaucus,1,Bioswale-1,Native
Distichlis_spicata,1,Bioswale-1,Native
Distichlis_spicata,6,Bioswale-1,Native
Stipa_pulchra,4,Bioswale-1,Native
Stipa_pulchra,6,Bioswale-1,Native
Distichlis_spicata,1,Bioswale-1,Native
Stipa_pulchra,71,Bioswale-1,Native
Distichlis_spicata,6,Bioswale-1,Native
Stipa_pulchra,17,Bioswale-1,Native
Carex_praegracilis,9,Bioswale-1,Native
Artemisia_californica,32,Bioswale-1,Native
Stipa_pulchra,14,Bioswale-1,Native
Distichlis_spicata,2,Bioswale-1,Native
Carex_praegracilis,16,Bioswale-1,Native
Distichlis_spicata,6,Bioswale-1,Native
Stipa_pulchra,7,Bioswale-1,Native
Sisyrinchium_bellum,4,Bioswale-1,Native
Stipa_pulchra,44,Bioswale-1,Native
Sisyrinchium_bellum,,Bioswale-1,Native
Carex_praegracilis,25,Bioswale-1,Native
Stipa_pulchra,41,Bioswale-1,Native
Distichlis_spicata,8,Bioswale-1,Native
Stipa_pulchra,7,Bioswale-1,Native
Distichlis_spicata,8,Bioswale-1,Native
Sisyrinchium_bellum,2,Bioswale-1,Native
Carex_praegracilis,78,Bioswale-1,Native
Carex_praegracilis,82,Bioswale-1,Native
Sisyrinchium_bellum,3,Bioswale-1,Native
Carex_praegracilis,60,Bioswale-1,Native
Elymus_glaucus,1,Bioswale-1,Native
Stipa_pulchra,1,Bioswale-1,Native
Distichlis_spicata,2,Bioswale-1,Native
Hordeum_brachyantherum,1,Bioswale-1,Native
Carex_praegracilis,87,Bioswale-1,Native
Distichlis_spicata,1,Bioswale-1,Native
Malvella_leprosa,1,Bioswale-1,Native
Distichlis_spicata,2,Bioswale-1,Native
Juncus_textilis,9,Bioswale-1,Native
Stipa_pulchra,3,Bioswale-1,Native
Malvella_leprosa,2,Bioswale-1,Native
Distichlis_spicata,5,Bioswale-1,Native
Malvella_leprosa,2,Bioswale-1,Native
Stipa_pulchra,7,Bioswale-1,Native
Juncus_textilis,16,Bioswale-1,Native
Distichlis_spicata,3,Bioswale-1,Native
Distichlis_spicata,4,VP-19,Native
Frankenia_salina,7,VP-19,Native
Malvella_leprosa,40,VP-19,Native
Eleocharis_palustris,1,VP-19,Native
Eleocharis_palustris,90,VP-19,Native
Malvella_leprosa,25,VP-19,Native
Cyperus_eragrostis,7,VP-19,Native
Distichlis_spicata,57,VP-19,Native
Bolboschoenus_maritimus,1,VP-19,Native
Malvella_leprosa,11,VP-19,Native
Eleocharis_macrostachya,85,VP-19,Native
Distichlis_spicata,17,VP-19,Native
Eleocharis_palustris,88,VP-19,Native
Distichlis_spicata,65,VP-19,Native
Malvella_leprosa,6,VP-19,Native
Malvella_leprosa,14,VP-19,Native
Eleocharis_palustris,70,VP-19,Native
Distichlis_spicata,30,VP-19,Native
Juncus_mexicanus,6,VP-19,Native
Juncus_mexicanus,85,VP-19,Native
Malvella_leprosa,3,VP-19,Native
Eleocharis_palustris,15,VP-19,Native
Juncus_mexicanus,80,VP-19,Native
Malvella_leprosa,30,VP-19,Native
Distichlis_spicata,1,VP-19,Native
Eleocharis_palustris,95,VP-19,Native
Schoenoplectus_californicus,11,VP-19,Native
Malvella_leprosa,45,VP-19,Native
Eleocharis_palustris,93,VP-19,Native
Malvella_leprosa,65,VP-19,Native
Distichlis_spicata,3,VP-19,Native
Schoenoplectus_californicus,5,VP-19,Native
Malvella_leprosa,43,VP-19,Native
Distichlis_spicata,60,VP-19,Native
Eleocharis_palustris,28,VP-19,Native
Distichlis_spicata,45,VP-19,Native
Eleocharis_palustris,75,VP-19,Native
Distichlis_spicata,3,VP-19,Native
Eleocharis_palustris,46,VP-19,Native
Epilobium_brachycarpum,1,VP-19,Native
Abronia_maritima,0,VP-19,Native
Quercus_agrifolia,15,VP-19,Native
Quercus_agrifolia,100,VP-19,Native
Juncus_acutus,42,Phase 1,Native
Schoenoplectus_californicus,30,Phase 1,Native
Malvella_leprosa,1,Phase 1,Native
Malvella_leprosa,2,Phase 1,Native
Eleocharis_palustris,55,Phase 1,Native
Cyperus_eragrostis,1,Phase 1,Native
