Species,Cover,Transect,Cover Type,Year
Lupinus microcarpus,15,Up1,Native,2021
Ambrosia_psilostachya,2,Up1,Native,2021
Lupinus_succulentus,1,Up1,Native,2021
Extriplex_californica,1,Up1,Native,2021
Lupinus_succulentus,4,Up1,Native,2021
Stipa_pulchra,11,Up1,Native,2021
Sisyrinchium_bellum,2,Up1,Native,2021
Lupinus microcarpus,3,Up1,Native,2021
Sisyrinchium_bellum,5,Up1,Native,2021
Stipa_pulchra,5,Up1,Native,2021
Encelia_californica,1,Up1,Native,2021
Artemisia_californica,2,Up1,Native,2021
Lupinus microcarpus,25,Up1,Native,2021
Plantago_erecta,1,Up1,Native,2021
Stipa_pulchra,30,Up1,Native,2021
Sisyrinchium_bellum,1,Up1,Native,2021
Epilobium_canum,3,Up1,Native,2021
Lupinus microcarpus,3,Up1,Native,2021
Eriophyllum_confertiflorum,9,Up1,Native,2021
Stipa_pulchra,5,Up1,Native,2021
Sisyrinchium_bellum,5,Up1,Native,2021
Lupinus microcarpus,10,Up1,Native,2021
Plantago_erecta,1,Up1,Native,2021
Pseudognaphalium canescens,1,Up1,Native,2021
Stipa_pulchra,6,Up1,Native,2021
Eriophyllum_confertiflorum,10,Up1,Native,2021
Elymus_condensatus,3,Up1,Native,2021
Lupinus microcarpus,1,Up1,Native,2021
Epilobium_brachycarpum,1,Up1,Native,2021
Stipa_pulchra,16,Up1,Native,2021
Sisyrinchium_bellum,1,Up1,Native,2021
Stipa_pulchra,10,Up1,Native,2021
Lupinus microcarpus,5,Up1,Native,2021
Stipa_pulchra,7,Up1,Native,2021
Lupinus_succulentus,1,Up1,Native,2021
Lupinus microcarpus,9,Up1,Native,2021
Asclepias_fascicularis,1,Up1,Native,2021
Plantago_erecta,10,Up1,Native,2021
Sisyrinchium_bellum,3,Up1,Native,2021
Stipa_pulchra,1,Up1,Native,2021
Lupinus microcarpus,8,Up1,Native,2021
Artemisia_californica,6,Up1,Native,2021
Stipa_pulchra,13,Up1,Native,2021
Epilobium_canum,4,Up1,Native,2021
Lupinus_succulentus,1,Up1,Native,2021
Sisyrinchium_bellum,3,Up1,Native,2021
Lupinus microcarpus,9,Up1,Native,2021
Sidalcea_malviflora,1,Up1,Native,2021
Stipa_pulchra,4,Up1,Native,2021
Lupinus microcarpus,1,Up1,Native,2021
Deinandra_fasciculata,1,Up1,Native,2021
Melilotus_indicus,1,Up1,Exotic,2021
Bromus_diandrus,1,Up1,Exotic,2021
Bromus_hordeaceus,7,Up1,Exotic,2021
Festuca_perennis,4,Up1,Exotic,2021
Vicia_sativa,4,Up1,Exotic,2021
Plantago_lanceolata,2,Up1,Exotic,2021
Festuca_perennis,3,Up1,Exotic,2021
Bromus_diandrus,1,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Festuca_perennis,3,Up1,Exotic,2021
Melilotus_indicus,1,Up1,Exotic,2021
Trifolium_hirtum,2,Up1,Exotic,2021
Bromus_hordeaceus,9,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Festuca_perennis,3,Up1,Exotic,2021
Festuca_bromoides,3,Up1,Exotic,2021
Vicia_villosa,1,Up1,Exotic,2021
Bromus_diandrus,14,Up1,Exotic,2021
Medicago_polymorpha,12,Up1,Exotic,2021
Bromus_hordeaceus,3,Up1,Exotic,2021
Festuca_perennis,1,Up1,Exotic,2021
Hypochaeris_glabra,1,Up1,Exotic,2021
Vicia_sativa,1,Up1,Exotic,2021
Trifolium_hirtum,1,Up1,Exotic,2021
Hypochaeris_glabra,1,Up1,Exotic,2021
Bromus_hordeaceus,3,Up1,Exotic,2021
Medicago_polymorpha,2,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Vicia_sativa,2,Up1,Exotic,2021
Bromus_hordeaceus,1,Up1,Exotic,2021
Bromus_diandrus,1,Up1,Exotic,2021
Festuca_bromoides,1,Up1,Exotic,2021
Melilotus_indicus,1,Up1,Exotic,2021
Medicago_polymorpha,5,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Festuca_myuros,1,Up1,Exotic,2021
Festuca_bromoides,12,Up1,Exotic,2021
Hypochaeris_glabra,1,Up1,Exotic,2021
Vicia_villosa,1,Up1,Exotic,2021
Bromus_hordeaceus,4,Up1,Exotic,2021
Medicago_polymorpha,10,Up1,Exotic,2021
Festuca_perennis,3,Up1,Exotic,2021
Vicia_villosa,1,Up1,Exotic,2021
Festuca_perennis,4,Up1,Exotic,2021
Medicago_polymorpha,10,Up1,Exotic,2021
Trifolium_hirtum,1,Up1,Exotic,2021
Festuca_bromoides,3,Up1,Exotic,2021
Festuca_perennis,3,Up1,Exotic,2021
Bromus_diandrus,10,Up1,Exotic,2021
Vicia_sativa,1,Up1,Exotic,2021
Medicago_polymorpha,3,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Bromus_hordeaceus,4,Up1,Exotic,2021
Festuca_bromoides,7,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Melilotus_indicus,3,Up1,Exotic,2021
Bromus_hordeaceus,5,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Festuca_myuros,1,Up1,Exotic,2021
Festuca_bromoides,4,Up1,Exotic,2021
Festuca_perennis,1,Up1,Exotic,2021
Trifolium_hirtum,4,Up1,Exotic,2021
Convolvulus_arvensis,2,Up1,Exotic,2021
Medicago_polymorpha,13,Up1,Exotic,2021
Festuca_perennis,1,Up1,Exotic,2021
Hypochaeris_glabra,1,Up1,Exotic,2021
Trifolium_hirtum,1,Up1,Exotic,2021
Bromus_hordeaceus,2,Up1,Exotic,2021
Melilotus_indicus,2,Up1,Exotic,2021
Hypochaeris_glabra,1,Up1,Exotic,2021
Festuca_bromoides,1,Up1,Exotic,2021
Festuca_perennis,1,Up1,Exotic,2021
Festuca_perennis,5,Up1,Exotic,2021
Bromus_diandrus,8,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Festuca_perennis,4,Up1,Exotic,2021
Bromus_diandrus,3,Up1,Exotic,2021
Bromus_hordeaceus,1,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Polypogon_monspeliensis,1,Up1,Exotic,2021
Vicia_villosa,1,Up1,Exotic,2021
Festuca_perennis,4,Up1,Exotic,2021
Bromus_hordeaceus,3,Up1,Exotic,2021
Bromus_diandrus,3,Up1,Exotic,2021
Vicia_sativa,1,Up1,Exotic,2021
Bromus_diandrus,15,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Trifolium_hirtum,3,Up1,Exotic,2021
Bromus_hordeaceus,3,Up1,Exotic,2021
Convolvulus_arvensis,1,Up1,Exotic,2021
Bromus_hordeaceus,2,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Medicago_polymorpha,10,Up1,Exotic,2021
Bromus_hordeaceus,1,Up1,Exotic,2021
Festuca_perennis,2,Up1,Exotic,2021
Helminthotheca_echioides,1,Up1,Exotic,2021
Atriplex_semibaccata,1,Up1,Exotic,2021
Medicago_polymorpha,1,Up1,Exotic,2021
Bromus_diandrus,1,Up1,Exotic,2021
Bare Ground,400,Up1,Other,2021
Natural Thatch,712,Up1,Other,2021
Mowed Thatch,178,Up1,Other,2021
Stipa_pulchra,14,Up2,Native,2021
Sisyrinchium_bellum,2,Up2,Native,2021
Centromadia_parryi_australis,1,Up2,Native,2021
Stipa_pulchra,1,Up2,Native,2021
Epilobium_brachycarpum,1,Up2,Native,2021
Heterotheca_grandiflora,1,Up2,Native,2021
Heterotheca_grandiflora,1,Up2,Native,2021
Stipa_pulchra,17,Up2,Native,2021
Stipa_pulchra,15,Up2,Native,2021
Baccharis_pilularis,1,Up2,Native,2021
Stipa_pulchra,23,Up2,Native,2021
Erigeron_canadensis,1,Up2,Native,2021
Epilobium_canum,1,Up2,Native,2021
Elymus_condensatus,10,Up2,Native,2021
Epilobium_brachycarpum,1,Up2,Native,2021
Stipa_pulchra,12,Up2,Native,2021
Stipa_pulchra,10,Up2,Native,2021
Epilobium_brachycarpum,,Up2,Native,2021
Sisyrinchium_bellum,1,Up2,Native,2021
Stipa_pulchra,11,Up2,Native,2021
Stipa_pulchra,16,Up2,Native,2021
Asclepias_fascicularis,4,Up2,Native,2021
Stipa_pulchra,30,Up2,Native,2021
Stipa_pulchra,6,Up2,Native,2021
Corethrogyne_filaginifolia,7,Up2,Native,2021
Stipa_pulchra,10,Up2,Native,2021
Stipa_pulchra,4,Up2,Native,2021
Asclepias_fascicularis,1,Up2,Native,2021
Stipa_pulchra,17,Up2,Native,2021
Sisyrinchium_bellum,2,Up2,Native,2021
Centromadia_parryi_australis,4,Up2,Native,2021
Stipa_pulchra,3,Up2,Native,2021
Deinandra_fasciculata,6,Up2,Native,2021
Asclepias_fascicularis,1,Up2,Native,2021
Stipa_pulchra,2,Up2,Native,2021
Epilobium_brachycarpum,1,Up2,Native,2021
Deinandra_fasciculata,1,Up2,Native,2021
Stipa_pulchra,12,Up2,Native,2021
Corethrogyne_filaginifolia,1,Up2,Native,2021
Stipa_pulchra,3,Up2,Native,2021
Stipa_pulchra,13,Up2,Native,2021
Heterotheca_grandiflora,2,Up2,Native,2021
Epilobium_brachycarpum,1,Up2,Native,2021
Sisyrinchium_bellum,0,Up2,Native,2021
Hordeum_murinum,2,Up2,Exotic,2021
Helminthotheca_echioides,1,Up 2,Exotic,2021
Festuca_perennis,5,Up2,Exotic,2021
Festuca_bromoides,25,Up2,Exotic,2021
Avena_fatua,1,Up2,Exotic,2021
Bromus_diandrus,1,Up2,Exotic,2021
Bromus_hordeaceus,3,Up2,Exotic,2021
Bromus_diandrus,4,Up2,Exotic,2021
Plantago_lanceolata,1,Up2,Exotic,2021
Festuca_bromoides,18,Up2,Exotic,2021
Avena_fatua,1,Up2,Exotic,2021
Festuca_perennis,2,Up2,Exotic,2021
Hordeum_murinum,7,Up2,Exotic,2021
Festuca_bromoides,23,Up2,Exotic,2021
Festuca_perennis,1,Up2,Exotic,2021
Bromus_diandrus,3,Up2,Exotic,2021
Bromus_hordeaceus,1,Up2,Exotic,2021
Avena_fatua,1,Up2,Exotic,2021
Hordeum_murinum,8,Up2,Exotic,2021
Festuca_bromoides,36,Up2,Exotic,2021
Bromus_hordeaceus,3,Up2,Exotic,2021
Avena_fatua,1,Up2,Exotic,2021
Festuca_perennis,4,Up2,Exotic,2021
Erodium_botrys,1,Up2,Exotic,2021
Festuca_bromoides,24,Up2,Exotic,2021
Hordeum_murinum,10,Up2,Exotic,2021
Bromus_diandrus,4,Up2,Exotic,2021
Festuca_perennis,1,Up2,Exotic,2021
Avena_barbata,1,Up2,Exotic,2021
Polypogon_monspeliensis,38,Up2,Exotic,2021
Bromus_hordeaceus,4,Up2,Exotic,2021
Bromus_diandrus,2,Up2,Exotic,2021
Festuca_myuros,10,Up2,Exotic,2021
Festuca_perennis,1,Up2,Exotic,2021
Vicia_villosa,1,Up2,Exotic,2021
Hypochaeris_glabra,2,Up2,Exotic,2021
Bromus_hordeaceus,7,Up2,Exotic,2021
Festuca_bromoides,4,Up2,Exotic,2021
Festuca_perennis,3,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Medicago_polymorpha,,Up2,Exotic,2021
Lysimachia_arvensis,0,Up2,Exotic,2021
Bromus_diandrus,5,Up2,Exotic,2021
Bromus_hordeaceus,8,Up2,Exotic,2021
Festuca_perennis,5,Up2,Exotic,2021
Vicia_villosa,2,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Festuca_bromoides,15,Up2,Exotic,2021
Hypochaeris_glabra,1,Up2,Exotic,2021
Vicia_sativa,1,Up2,Exotic,2021
Bromus_hordeaceus,22,Up2,Exotic,2021
Festuca_bromoides,11,Up2,Exotic,2021
Festuca_perennis,5,Up2,Exotic,2021
Bromus_hordeaceus,24,Up2,Exotic,2021
Bromus_diandrus,7,Up2,Exotic,2021
Festuca_perennis,1,Up2,Exotic,2021
Melilotus_indicus,1,Up2,Exotic,2021
Festuca_bromoides,1,Up2,Exotic,2021
Festuca_bromoides,30,Up2,Exotic,2021
Festuca_perennis,2,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Festuca_perennis,2,Up2,Exotic,2021
Vicia_villosa,2,Up2,Exotic,2021
Bromus_diandrus,6,Up2,Exotic,2021
Avena_barbata,1,Up2,Exotic,2021
Avena_fatua,3,Up2,Exotic,2021
Bromus_diandrus,8,Up2,Exotic,2021
Festuca_bromoides,5,Up2,Exotic,2021
Bromus_hordeaceus,1,Up2,Exotic,2021
Festuca_perennis,4,Up2,Exotic,2021
Bromus_hordeaceus,12,Up2,Exotic,2021
Bromus_diandrus,4,Up2,Exotic,2021
Avena_fatua,1,Up2,Exotic,2021
Melilotus_indicus,1,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Vicia_villosa,1,Up2,Exotic,2021
Hypochaeris_glabra,1,Up2,Exotic,2021
Festuca_bromoides,7,Up2,Exotic,2021
Festuca_bromoides,35,Up2,Exotic,2021
Bromus_hordeaceus,1,Up2,Exotic,2021
Avena_fatua,4,Up2,Exotic,2021
Bromus_diandrus,2,Up2,Exotic,2021
Hypochaeris_glabra,1,Up2,Exotic,2021
Bromus_diandrus,18,Up2,Exotic,2021
Festuca_bromoides,10,Up2,Exotic,2021
Hordeum_murinum,12,Up2,Exotic,2021
Avena_fatua,4,Up2,Exotic,2021
Malva_parviflora,1,Up2,Exotic,2021
Lythrum_hyssopifolia,1,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Hypochaeris_glabra,1,Up2,Exotic,2021
Festuca_bromoides,34,Up2,Exotic,2021
Avena_fatua,6,Up2,Exotic,2021
Bromus_diandrus,1,Up2,Exotic,2021
Festuca_bromoides,40,Up2,Exotic,2021
Festuca_perennis,6,Up2,Exotic,2021
Bromus_hordeaceus,1,Up2,Exotic,2021
Melilotus_indicus,1,Up2,Exotic,2021
Bromus_diandrus,1,Up2,Exotic,2021
Bromus_diandrus,5,Up2,Exotic,2021
Festuca_bromoides,21,Up2,Exotic,2021
Avena_fatua,2,Up2,Exotic,2021
Helminthotheca_echioides,1,Up2,Exotic,2021
Bromus_hordeaceus,10,Up2,Exotic,2021
Hordeum_murinum,0,Up2,Exotic,2021
Bare Ground,49,Up2,Other,2021
Natural Thatch,410,Up2,Other,2021
Mowed Thatch,19,Up2,Other,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Festuca_perennis,11,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Geranium_dissectum,1,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Hypochaeris radicata,1,Bio,Exotic,2021
Trifolium_hirtum,2,Bio,Exotic,2021
Bromus_hordeaceus,3,Bio,Exotic,2021
Hordeum_marinum,1,Bio,Exotic,2021
Festuca_myuros,2,Bio,Exotic,2021
Geranium_dissectum,14,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Festuca_perennis,1,Bio,Exotic,2021
Bromus_hordeaceus,4,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Festuca_perennis,2,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Bromus_diandrus,3,Bio,Exotic,2021
Bromus_hordeaceus,15,Bio,Exotic,2021
Plantago_coronopus,1,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Melilotus_indicus,2,Bio,Exotic,2021
Festuca_myuros,26,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Trifolium_hirtum,2,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Bromus_hordeaceus,5,Bio,Exotic,2021
Festuca_perennis,5,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Festuca_perennis,15,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Avena_barbata,1,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Festuca_perennis,4,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Erodium_botrys,1,Bio,Exotic,2021
Medicago_polymorpha,2,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Festuca_perennis,4,Bio,Exotic,2021
Melilotus_indicus,1,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Bromus_hordeaceus,21,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Geranium_dissectum,1,Bio,Exotic,2021
Plantago_coronopus,1,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Festuca_perennis,1,Bio,Exotic,2021
Festuca_myuros,19,Bio,Exotic,2021
Festuca_perennis,7,Bio,Exotic,2021
Melilotus_indicus,1,Bio,Exotic,2021
Trifolium_hirtum,4,Bio,Exotic,2021
Bromus_hordeaceus,2,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Pseudognaphalium_luteoalbum,1,Bio,Exotic,2021
Vicia_sativa,1,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Geranium_dissectum,1,Bio,Exotic,2021
Festuca_myuros,12,Bio,Exotic,2021
Festuca_perennis,1,Bio,Exotic,2021
Erodium_botrys,3,Bio,Exotic,2021
Convolvulus_arvensis,2,Bio,Exotic,2021
Bromus_diandrus,6,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Festuca_perennis,2,Bio,Exotic,2021
Bromus_hordeaceus,2,Bio,Exotic,2021
Avena_fatua,2,Bio,Exotic,2021
Vicia_sativa,1,Bio,Exotic,2021
Bromus_hordeaceus,2,Bio,Exotic,2021
Festuca_perennis,3,Bio,Exotic,2021
Geranium_dissectum,1,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Festuca_perennis,1,Bio,Exotic,2021
Festuca_perennis,5,Bio,Exotic,2021
Erodium_cicutarium,9,Bio,Exotic,2021
Bromus_hordeaceus,5,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Avena_fatua,2,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Bromus_hordeaceus,10,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Festuca_perennis,7,Bio,Exotic,2021
Avena_barbata,2,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Erodium_cicutarium,5,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Festuca_perennis,2,Bio,Exotic,2021
Lactuca_serriola,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Sonchus_sp,1,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Erodium_cicutarium,2,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Festuca_perennis,7,Bio,Exotic,2021
Medicago_polymorpha,2,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Festuca_perennis,2,Bio,Exotic,2021
Helminthotheca_echioides,1,Bio,Exotic,2021
Geranium_dissectum,1,Bio,Exotic,2021
Medicago_polymorpha,1,Bio,Exotic,2021
Bromus_diandrus,1,Bio,Exotic,2021
Medicago_lupulina,1,Bio,Exotic,2021
Festuca_perennis,14,Bio,Exotic,2021
Bromus_hordeaceus,1,Bio,Exotic,2021
Avena_fatua,1,Bio,Exotic,2021
Sisyrinchium_bellum,1,Bio,Native,2021
Acmispon_maritimus,1,Bio,Native,2021
Distichlis_spicata,6,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Carex_praegracilis,1,Bio,Native,2021
Rumex salicifolius,1,Bio,Native,2021
Acmispon_maritimus,1,Bio,Native,2021
Distichlis_spicata,3,Bio,Native,2021
Artemisia_californica,4,Bio,Native,2021
Stipa_pulchra,2,Bio,Native,2021
Epilobium_brachycarpum,1,Bio,Native,2021
Stipa_pulchra,9,Bio,Native,2021
Deinandra_fasciculata,2,Bio,Native,2021
Distichlis_spicata,6,Bio,Native,2021
Sisyrinchium_bellum,2,Bio,Native,2021
Lupinus_succulentus,3,Bio,Native,2021
Acmispon_maritimus,5,Bio,Native,2021
Elymus_glaucus,1,Bio,Native,2021
Epilobium_brachycarpum,1,Bio,Native,2021
Distichlis_spicata,3,Bio,Native,2021
Carex_praegracilis,20,Bio,Native,2021
Distichlis_spicata,9,Bio,Native,2021
Elymus_glaucus,1,Bio,Native,2021
Eschscholzia_californica,1,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Carex_praegracilis,24,Bio,Native,2021
Distichlis_spicata,1,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Sisyrinchium_bellum,1,Bio,Native,2021
Acmispon_maritimus,1,Bio,Native,2021
Deinandra_fasciculata,4,Bio,Native,2021
Distichlis_spicata,3,Bio,Native,2021
Dipterostemon capitatus,1,Bio,Native,2021
Epilobium_brachycarpum,1,Bio,Native,2021
Stipa_pulchra,8,Bio,Native,2021
Stipa_pulchra,19,Bio,Native,2021
Distichlis_spicata,1,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Distichlis_spicata,36,Bio,Native,2021
Stipa_pulchra,3,Bio,Native,2021
Stipa_pulchra,25,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Lupinus_succulentus,1,Bio,Native,2021
Distichlis_spicata,18,Bio,Native,2021
Deinandra_fasciculata,2,Bio,Native,2021
Lupinus_succulentus,5,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Carex_praegracilis,23,Bio,Native,2021
Distichlis_spicata,2,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Carex_praegracilis,9,Bio,Native,2021
Distichlis_spicata,7,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Stipa_pulchra,11,Bio,Native,2021
Deinandra_fasciculata,7,Bio,Native,2021
Epilobium_brachycarpum,1,Bio,Native,2021
Deinandra_fasciculata,9,Bio,Native,2021
Distichlis_spicata,1,Bio,Native,2021
Extriplex_californica,9,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Lupinus_succulentus,1,Bio,Native,2021
Juncus_patens,2,Bio,Native,2021
Malvella_leprosa,1,Bio,Native,2021
Distichlis_spicata,1,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Centromadia_parryi_australis,1,Bio,Native,2021
Stipa_pulchra,2,Bio,Native,2021
Distichlis_spicata,18,Bio,Native,2021
Deinandra_fasciculata,2,Bio,Native,2021
Stipa_pulchra,2,Bio,Native,2021
Epilobium_brachycarpum,1,Bio,Native,2021
Distichlis_spicata,2,Bio,Native,2021
Stipa_pulchra,1,Bio,Native,2021
Malvella_leprosa,1,Bio,Native,2021
Carex_praegracilis,15,Bio,Native,2021
Juncus_patens,15,Bio,Native,2021
Malvella_leprosa,1,Bio,Native,2021
Deinandra_fasciculata,1,Bio,Native,2021
Distichlis_spicata,2,Bio,Native,2021
Lupinus_succulentus,1,Bio,Native,2021
Rumex salicifolius,1,Bio,Native,2021
Bare Ground,240,Bio,Other,2021
Natural Thatch,649,Bio,Other,2021
Mowed Thatch,532,Bio,Other,2021
Polypogon_monspeliensis,55,Wet1,Exotic,2021
Lythrum_hyssopifolia,1,Wet1,Exotic,2021
Polypogon_monspeliensis,6,Wet1,Exotic,2021
Plantago_coronopus,2,Wet1,Exotic,2021
Atriplex_semibaccata,4,Wet1,Exotic,2021
Festuca_perennis,2,Wet1,Exotic,2021
Melilotus_indicus,3,Wet1,Exotic,2021
Parapholis_incurva,10,Wet1,Exotic,2021
Festuca_myuros,2,Wet1,Exotic,2021
Sonchus_asper,1,Wet1,Exotic,2021
Medicago_polymorpha,2,Wet1,Exotic,2021
Geranium_dissectum,1,Wet1,Exotic,2021
Lepidium_didymum,2,Wet1,Exotic,2021
Cynodon_dactylon,1,Wet1,Exotic,2021
Polypogon_monspeliensis,40,Wet1,Exotic,2021
Lythrum_hyssopifolia,1,Wet1,Exotic,2021
,0,Wet1,Exotic,2021
Polypogon_monspeliensis,25,Wet1,Exotic,2021
Lythrum_hyssopifolia,1,Wet1,Exotic,2021
Polypogon_monspeliensis,10,Wet1,Exotic,2021
Lythrum_hyssopifolia,2,Wet1,Exotic,2021
Spergularia_sp,1,Wet1,Exotic,2021
Sonchus_sp,1,Wet1,Exotic,2021
Festuca_perennis,1,Wet1,Exotic,2021
Polypogon_monspeliensis,15,Wet1,Exotic,2021
